k,class_subset,embedding,clustering,precision,recall,f1
3,"[1, 3, 4]",w2v_pretrained,spectral,0.6675,0.5427,0.5125
3,"[2, 3, 4]",w2v_pretrained,kmeans,0.4307,0.4469,0.4347
3,"[2, 3, 4]",w2v_pretrained,hac,0.4006,0.4253,0.4038
3,"[2, 3, 4]",w2v_pretrained,spectral,0.6077,0.5249,0.4739
3,"[2, 3, 4]",w2v_pretrained,dbscan,0.3229,0.4047,0.3548
3,"[2, 3, 4]",w2v_pretrained,hdbscan,0.4524,0.3855,0.29
4,"[0, 1, 2, 3]",w2v_pretrained,kmeans,0.502,0.4948,0.475
4,"[0, 1, 2, 3]",w2v_pretrained,hac,0.4666,0.4224,0.3853
4,"[0, 1, 2, 3]",w2v_pretrained,spectral,0.5495,0.5463,0.5023
4,"[0, 1, 2, 4]",w2v_pretrained,kmeans,0.6523,0.6385,0.6292
4,"[0, 1, 2, 4]",w2v_pretrained,hac,0.5963,0.5495,0.538
4,"[0, 1, 2, 4]",w2v_pretrained,spectral,0.6009,0.583,0.5339
4,"[0, 1, 3, 4]",w2v_pretrained,kmeans,0.6362,0.6104,0.6031
4,"[0, 1, 3, 4]",w2v_pretrained,hac,0.6095,0.5651,0.5477
4,"[0, 1, 3, 4]",w2v_pretrained,spectral,0.6432,0.5816,0.5501
4,"[0, 1, 3, 4]",w2v_pretrained,dbscan,0.5144,0.201,0.1092
4,"[0, 2, 3, 4]",w2v_pretrained,kmeans,0.5688,0.5124,0.5246
4,"[0, 2, 3, 4]",w2v_pretrained,hac,0.4725,0.41,0.3936
4,"[0, 2, 3, 4]",w2v_pretrained,spectral,0.5851,0.5436,0.513
4,"[0, 2, 3, 4]",w2v_pretrained,dbscan,0.3268,0.2109,0.1068
4,"[1, 2, 3, 4]",w2v_pretrained,kmeans,0.493,0.5061,0.4902
4,"[1, 2, 3, 4]",w2v_pretrained,hac,0.4316,0.4079,0.3571
4,"[1, 2, 3, 4]",w2v_pretrained,spectral,0.3641,0.369,0.3005
5,"[0, 1, 2, 3, 4]",w2v_pretrained,kmeans,0.5233,0.502,0.499
5,"[0, 1, 2, 3, 4]",w2v_pretrained,hac,0.4511,0.4508,0.4491
5,"[0, 1, 2, 3, 4]",w2v_pretrained,spectral,0.4058,0.4051,0.355
2,"[0, 1]",fasttext_pretrained,kmeans,0.8782,0.8817,0.8797
2,"[0, 1]",fasttext_pretrained,hac,0.8556,0.8348,0.8408
2,"[0, 1]",fasttext_pretrained,spectral,0.8958,0.8731,0.8799
2,"[0, 1]",fasttext_pretrained,hdbscan,0.7877,0.5096,0.384
2,"[0, 2]",fasttext_pretrained,kmeans,0.7918,0.7898,0.7882
2,"[0, 2]",fasttext_pretrained,hac,0.7604,0.7473,0.7415
2,"[0, 2]",fasttext_pretrained,spectral,0.7904,0.7894,0.7883
2,"[0, 2]",fasttext_pretrained,dbscan,0.7574,0.5025,0.3449
2,"[0, 2]",fasttext_pretrained,hdbscan,0.2558,0.496,0.3375
2,"[0, 3]",fasttext_pretrained,kmeans,0.7846,0.8015,0.7778
2,"[0, 3]",fasttext_pretrained,hac,0.7749,0.7874,0.7556
2,"[0, 3]",fasttext_pretrained,spectral,0.7896,0.8071,0.7845
2,"[0, 3]",fasttext_pretrained,dbscan,0.8108,0.5039,0.3911
2,"[0, 3]",fasttext_pretrained,hdbscan,0.8108,0.5039,0.3911
2,"[0, 4]",fasttext_pretrained,kmeans,0.835,0.8442,0.8369
2,"[0, 4]",fasttext_pretrained,hac,0.7969,0.8009,0.7799
2,"[0, 4]",fasttext_pretrained,spectral,0.8424,0.8526,0.8372
2,"[0, 4]",fasttext_pretrained,dbscan,0.4678,0.4886,0.4188
2,"[0, 4]",fasttext_pretrained,hdbscan,0.7071,0.5039,0.3007
2,"[1, 2]",fasttext_pretrained,kmeans,0.803,0.807,0.802
2,"[1, 2]",fasttext_pretrained,hac,0.8451,0.8012,0.8072
2,"[1, 2]",fasttext_pretrained,spectral,0.529,0.5015,0.3711
2,"[1, 3]",fasttext_pretrained,kmeans,0.7457,0.7414,0.7427
2,"[1, 3]",fasttext_pretrained,hac,0.727,0.7274,0.7272
2,"[1, 3]",fasttext_pretrained,spectral,0.7912,0.7936,0.7918
2,"[1, 3]",fasttext_pretrained,hdbscan,0.7777,0.5091,0.375
